event_id,scenario_id,timestamp_local,distance_km,initial_soc
E0042,CAISO_PHEV_BALANCED,2026-01-02 17:00:00,8.0,0.55
E0043,CAISO_PHEV_BALANCED,2026-01-02 18:00:00,8.0,0.55
E0044,CAISO_PHEV_BALANCED,2026-01-02 19:00:00,8.0,0.55
E0045,CAISO_PHEV_BALANCED,2026-01-02 20:00:00,0.5,0.55
E0046,CAISO_PHEV_BALANCED,2026-01-02 21:00:00,0.5,0.55
E0047,CAISO_PHEV_BALANCED,2026-01-02 22:00:00,0.5,0.55
E0048,CAISO_PHEV_BALANCED,2026-01-02 23:00:00,0.5,0.55
E0049,CAISO_PHEV_BALANCED,2026-01-03 00:00:00,0.5,0.55
E0050,CAISO_PHEV_BALANCED,2026-01-03 01:00:00,0.5,0.55
E0051,CAISO_PHEV_BALANCED,2026-01-03 02:00:00,0.5,0.55
E0052,CAISO_PHEV_BALANCED,2026-01-03 03:00:00,0.5,0.55
E0053,CAISO_PHEV_BALANCED,2026-01-03 04:00:00,0.5,0.55
E0054,CAISO_PHEV_BALANCED,2026-01-03 05:00:00,0.5,0.55
E0055,CAISO_PHEV_BALANCED,2026-01-03 06:00:00,0.5,0.55
E0056,CAISO_PHEV_BALANCED,2026-01-03 07:00:00,8.0,0.55
E0057,CAISO_PHEV_BALANCED,2026-01-03 08:00:00,8.0,0.55
E0058,CAISO_PHEV_BALANCED,2026-01-03 09:00:00,8.0,0.55
E0059,CAISO_PHEV_BALANCED,2026-01-03 10:00:00,0.5,0.55
E0060,CAISO_PHEV_BALANCED,2026-01-03 11:00:00,0.5,0.55
E0061,CAISO_PHEV_BALANCED,2026-01-03 12:00:00,2.0,0.55
E0062,CAISO_PHEV_BALANCED,2026-01-03 13:00:00,2.0,0.55
E0063,CAISO_PHEV_BALANCED,2026-01-03 14:00:00,2.0,0.55
E0064,CAISO_PHEV_BALANCED,2026-01-03 15:00:00,0.5,0.55
E0065,CAISO_PHEV_BALANCED,2026-01-03 16:00:00,8.0,0.55
E0066,CAISO_PHEV_BALANCED,2026-01-03 17:00:00,8.0,0.55
E0067,CAISO_PHEV_BALANCED,2026-01-03 18:00:00,8.0,0.55
E0068,CAISO_PHEV_BALANCED,2026-01-03 19:00:00,8.0,0.55
E0069,CAISO_PHEV_BALANCED,2026-01-03 20:00:00,0.5,0.55
E0070,CAISO_PHEV_BALANCED,2026-01-03 21:00:00,0.5,0.55
E0071,CAISO_PHEV_BALANCED,2026-01-03 22:00:00,0.5,0.55
E0072,CAISO_PHEV_BALANCED,2026-01-03 23:00:00,0.5,0.55
E0073,CAISO_PHEV_BALANCED,2026-01-04 00:00:00,0.5,0.55
E0074,CAISO_PHEV_BALANCED,2026-01-04 01:00:00,0.5,0.55
E0075,CAISO_PHEV_BALANCED,2026-01-04 02:00:00,0.5,0.55
E0076,CAISO_PHEV_BALANCED,2026-01-04 03:00:00,0.5,0.55
E0077,CAISO_PHEV_BALANCED,2026-01-04 04:00:00,0.5,0.55
E0078,CAISO_PHEV_BALANCED,2026-01-04 05:00:00,0.5,0.55
E0079,CAISO_PHEV_BALANCED,2026-01-04 06:00:00,0.5,0.55
E0080,CAISO_PHEV_BALANCED,2026-01-04 07:00:00,8.0,0.55
E0081,CAISO_PHEV_BALANCED,2026-01-04 08:00:00,8.0,0.55
E0082,CAISO_PHEV_BALANCED,2026-01-04 09:00:00,8.0,0.55
E0083,CAISO_PHEV_BALANCED,2026-01-04 10:00:00,0.5,0.55
E0084,CAISO_PHEV_BALANCED,2026-01-04 11:00:00,0.5,0.55
E0085,CAISO_PHEV_BALANCED,2026-01-04 12:00:00,2.0,0.55
E0086,CAISO_PHEV_BALANCED,2026-01-04 13:00:00,2.0,0.55
E0087,CAISO_PHEV_BALANCED,2026-01-04 14:00:00,2.0,0.55
E0088,CAISO_PHEV_BALANCED,2026-01-04 15:00:00,0.5,0.55
E0089,CAISO_PHEV_BALANCED,2026-01-04 16:00:00,8.0,0.55
E0090,CAISO_PHEV_BALANCED,2026-01-04 17:00:00,8.0,0.55
E0091,CAISO_PHEV_BALANCED,2026-01-04 18:00:00,8.0,0.55
E0092,CAISO_PHEV_BALANCED,2026-01-04 19:00:00,8.0,0.55
E0093,CAISO_PHEV_BALANCED,2026-01-04 20:00:00,0.5,0.55
E0094,CAISO_PHEV_BALANCED,2026-01-04 21:00:00,0.5,0.55
E0095,CAISO_PHEV_BALANCED,2026-01-04 22:00:00,0.5,0.55
E0096,CAISO_PHEV_BALANCED,2026-01-04 23:00:00,0.5,0.55
E0097,CAISO_PHEV_BALANCED,2026-01-05 00:00:00,0.5,0.55
E0098,CAISO_PHEV_BALANCED,2026-01-05 01:00:00,0.5,0.55
E0099,CAISO_PHEV_BALANCED,2026-01-05 02:00:00,0.5,0.55
E0100,CAISO_PHEV_BALANCED,2026-01-05 03:00:00,0.5,0.55
E0101,CAISO_PHEV_BALANCED,2026-01-05 04:00:00,0.5,0.55
E0102,CAISO_PHEV_BALANCED,2026-01-05 05:00:00,0.5,0.55
E0103,CAISO_PHEV_BALANCED,2026-01-05 06:00:00,0.5,0.55
E0104,CAISO_PHEV_BALANCED,2026-01-05 07:00:00,8.0,0.55
E0105,CAISO_PHEV_BALANCED,2026-01-05 08:00:00,8.0,0.55
E0106,CAISO_PHEV_BALANCED,2026-01-05 09:00:00,8.0,0.55
E0107,CAISO_PHEV_BALANCED,2026-01-05 10:00:00,0.5,0.55
E0108,CAISO_PHEV_BALANCED,2026-01-05 11:00:00,0.5,0.55
E0109,CAISO_PHEV_BALANCED,2026-01-05 12:00:00,2.0,0.55
E0110,CAISO_PHEV_BALANCED,2026-01-05 13:00:00,2.0,0.55
E0111,CAISO_PHEV_BALANCED,2026-01-05 14:00:00,2.0,0.55
E0112,CAISO_PHEV_BALANCED,2026-01-05 15:00:00,0.5,0.55
E0113,CAISO_PHEV_BALANCED,2026-01-05 16:00:00,8.0,0.55
E0114,CAISO_PHEV_BALANCED,2026-01-05 17:00:00,8.0,0.55
E0115,CAISO_PHEV_BALANCED,2026-01-05 18:00:00,8.0,0.55
E0116,CAISO_PHEV_BALANCED,2026-01-05 19:00:00,8.0,0.55
E0117,CAISO_PHEV_BALANCED,2026-01-05 20:00:00,0.5,0.55
E0118,CAISO_PHEV_BALANCED,2026-01-05 21:00:00,0.5,0.55
E0119,CAISO_PHEV_BALANCED,2026-01-05 22:00:00,0.5,0.55
E0120,CAISO_PHEV_BALANCED,2026-01-05 23:00:00,0.5,0.55
E0121,CAISO_PHEV_BALANCED,2026-01-06 00:00:00,0.5,0.55
E0122,CAISO_PHEV_BALANCED,2026-01-06 01:00:00,0.5,0.55
E0123,CAISO_PHEV_BALANCED,2026-01-06 02:00:00,0.5,0.55
E0124,CAISO_PHEV_BALANCED,2026-01-06 03:00:00,0.5,0.55
E0125,CAISO_PHEV_BALANCED,2026-01-06 04:00:00,0.5,0.55
E0126,CAISO_PHEV_BALANCED,2026-01-06 05:00:00,0.5,0.55
E0127,CAISO_PHEV_BALANCED,2026-01-06 06:00:00,0.5,0.55
E0128,CAISO_PHEV_BALANCED,2026-01-06 07:00:00,8.0,0.55
E0129,CAISO_PHEV_BALANCED,2026-01-06 08:00:00,8.0,0.55
E0130,CAISO_PHEV_BALANCED,2026-01-06 09:00:00,8.0,0.55
E0131,CAISO_PHEV_BALANCED,2026-01-06 10:00:00,0.5,0.55
E0132,CAISO_PHEV_BALANCED,2026-01-06 11:00:00,0.5,0.55
E0133,CAISO_PHEV_BALANCED,2026-01-06 12:00:00,2.0,0.55
E0134,CAISO_PHEV_BALANCED,2026-01-06 13:00:00,2.0,0.55
E0135,CAISO_PHEV_BALANCED,2026-01-06 14:00:00,2.0,0.55
E0136,CAISO_PHEV_BALANCED,2026-01-06 15:00:00,0.5,0.55
E0137,CAISO_PHEV_BALANCED,2026-01-06 16:00:00,8.0,0.55
E0138,CAISO_PHEV_BALANCED,2026-01-06 17:00:00,8.0,0.55
E0139,CAISO_PHEV_BALANCED,2026-01-06 18:00:00,8.0,0.55
E0140,CAISO_PHEV_BALANCED,2026-01-06 19:00:00,8.0,0.55
E0141,CAISO_PHEV_BALANCED,2026-01-06 20:00:00,0.5,0.55
E0142,CAISO_PHEV_BALANCED,2026-01-06 21:00:00,0.5,0.55
E0143,CAISO_PHEV_BALANCED,2026-01-06 22:00:00,0.5,0.55
E0144,CAISO_PHEV_BALANCED,2026-01-06 23:00:00,0.5,0.55
E0145,CAISO_PHEV_BALANCED,2026-01-07 00:00:00,0.5,0.55
E0146,CAISO_PHEV_BALANCED,2026-01-07 01:00:00,0.5,0.55
E0147,CAISO_PHEV_BALANCED,2026-01-07 02:00:00,0.5,0.55
E0148,CAISO_PHEV_BALANCED,2026-01-07 03:00:00,0.5,0.55
E0149,CAISO_PHEV_BALANCED,2026-01-07 04:00:00,0.5,0.55
E0150,CAISO_PHEV_BALANCED,2026-01-07 05:00:00,0.5,0.55
E0151,CAISO_PHEV_BALANCED,2026-01-07 06:00:00,0.5,0.55
E0152,CAISO_PHEV_BALANCED,2026-01-07 07:00:00,8.0,0.55
E0153,CAISO_PHEV_BALANCED,2026-01-07 08:00:00,8.0,0.55
E0154,CAISO_PHEV_BALANCED,2026-01-07 09:00:00,8.0,0.55
E0155,CAISO_PHEV_BALANCED,2026-01-07 10:00:00,0.5,0.55
E0156,CAISO_PHEV_BALANCED,2026-01-07 11:00:00,0.5,0.55
E0157,CAISO_PHEV_BALANCED,2026-01-07 12:00:00,2.0,0.55
E0158,CAISO_PHEV_BALANCED,2026-01-07 13:00:00,2.0,0.55
E0159,CAISO_PHEV_BALANCED,2026-01-07 14:00:00,2.0,0.55
E0160,CAISO_PHEV_BALANCED,2026-01-07 15:00:00,0.5,0.55
E0161,CAISO_PHEV_BALANCED,2026-01-07 16:00:00,8.0,0.55
E0162,CAISO_PHEV_BALANCED,2026-01-07 17:00:00,8.0,0.55
E0163,CAISO_PHEV_BALANCED,2026-01-07 18:00:00,8.0,0.55
E0164,CAISO_PHEV_BALANCED,2026-01-07 19:00:00,8.0,0.55
E0165,CAISO_PHEV_BALANCED,2026-01-07 20:00:00,0.5,0.55
E0166,CAISO_PHEV_BALANCED,2026-01-07 21:00:00,0.5,0.55
E0167,CAISO_PHEV_BALANCED,2026-01-07 22:00:00,0.5,0.55
E0168,CAISO_PHEV_BALANCED,2026-01-07 23:00:00,0.5,0.55
